temperature,strain_rate,strain,flow_stress
800.0,0.1,0.0,50.5011270869658
800.0,0.1,0.0008518936919763,52.6756683367345
800.0,0.1,0.0017159012663996,54.8501139408446
800.0,0.1,0.0025883791866633,57.0244931879801
800.0,0.1,0.0035713214864646,59.197452510828
800.0,0.1,0.004554263786266,61.3704698085267
800.0,0.1,0.0055764601655988,63.5429506834378
800.0,0.1,0.0066943499432176,65.7140492461476
800.0,0.1,0.0078122397208364,67.885219317973
800.0,0.1,0.0090097378452859,70.0550991218846
800.0,0.1,0.0102710367620751,72.2239709670502
800.0,0.1,0.0115323356788642,74.3929296364408
800.0,0.1,0.0129404224810418,76.5591262948188
800.0,0.1,0.0143705572145983,78.7249990410236
800.0,0.1,0.0158420570090898,80.8900719002522
800.0,0.1,0.0174425619683048,83.0524396053917
800.0,0.1,0.0190430669275198,85.2149323420853
800.0,0.1,0.0207914512293026,87.3738699136411
800.0,0.1,0.0226101204260541,89.5312042885544
800.0,0.1,0.024479532007374,91.6872297716204
800.0,0.1,0.0265677687361932,93.8371321428304
800.0,0.1,0.0286560054650124,95.9872151682106
800.0,0.1,0.0309735115413248,98.1298874756197
800.0,0.1,0.0333527508644388,100.270726857409
800.0,0.1,0.0358888240076617,102.405805109229
800.0,0.1,0.0385938566985902,104.534688764313
800.0,0.1,0.0413951439680578,106.659621993077
800.0,0.1,0.0444499161408716,108.773764723303
800.0,0.1,0.0475670269881491,110.885108217006
800.0,0.1,0.0509805004597305,112.982061044009
800.0,0.1,0.0544657435000884,115.075303029634
800.0,0.1,0.0582890681093286,117.149835577614
800.0,0.1,0.0622403156965206,119.216529745021
800.0,0.1,0.0665143292639338,121.262889795114
800.0,0.1,0.0710080890183103,123.293703042204
800.0,0.1,0.0757219572973705,125.308980750918
800.0,0.1,0.0808041379957829,127.294640416964
800.0,0.1,0.086076290146374,129.264240585224
800.0,0.1,0.0917298389615811,131.199352550362
800.0,0.1,0.0977459465002918,133.097519059944
800.0,0.1,0.104025229837535,134.967801617127
800.0,0.1,0.110594595747261,136.805433442838
800.0,0.1,0.117472960222734,138.60520750532
800.0,0.1,0.124589575518861,140.37383864733
800.0,0.1,0.13196182935476,142.107407761125
800.0,0.1,0.139605747521989,143.801524041883
800.0,0.1,0.147570302055645,145.445497737842
800.0,0.1,0.155871452656867,147.031981161568
800.0,0.1,0.1644866507626,148.560160358432
800.0,0.1,0.173416825850669,150.025076724105
800.0,0.1,0.182610100735878,151.433443980447
800.0,0.1,0.192017697900303,152.792521823984
800.0,0.1,0.201622662920712,154.10322538054
800.0,0.1,0.211423856544455,155.362610222125
800.0,0.1,0.221427421487862,156.565154610869
800.0,0.1,0.231639887771651,157.704268373453
800.0,0.1,0.242057593158112,158.775555241188
800.0,0.1,0.25267214823195,159.775449217658
800.0,0.1,0.263478884305992,160.698082052901
800.0,0.1,0.274470395005691,161.537394699355
800.0,0.1,0.285630290051195,162.290390583305
800.0,0.1,0.296933732197113,162.958753374662
800.0,0.1,0.308328066366939,163.566409618448
800.0,0.1,0.319793952708434,164.119972346882
800.0,0.1,0.331319931856395,164.622149619685
800.0,0.1,0.342913719804301,165.055860864172
800.0,0.1,0.354584052286902,165.392382846073
800.0,0.1,0.366309007055051,165.628104306686
800.0,0.1,0.378063246039695,165.765348028647
800.0,0.1,0.389823696124539,165.810153612274
800.0,0.1,0.401570420547302,165.765873599963
800.0,0.1,0.413286268571702,165.636371718343
800.0,0.1,0.424948408425587,165.414804246953
800.0,0.1,0.436521521063657,165.085673411778
800.0,0.1,0.447987849516402,164.65771540203
800.0,0.1,0.45933712700245,164.140356274104
800.0,0.1,0.470584297995284,163.555090048047
800.0,0.1,0.481755007685871,162.923448092936
800.0,0.1,0.492852593760559,162.250305233532
800.0,0.1,0.503866217000908,161.532557001252
800.0,0.1,0.514763108892772,160.757200503517
800.0,0.1,0.525509911267824,159.91359061731
800.0,0.1,0.536098966800937,159.00410479712
800.0,0.1,0.546560725503745,158.044975387117
800.0,0.1,0.557050711074907,157.095408010289
800.0,0.1,0.567638332426654,156.182817690598
800.0,0.1,0.578369143615006,155.328424201418
800.0,0.1,0.589205744686742,154.518993274658
800.0,0.1,0.600049709495758,153.71194423461
800.0,0.1,0.61084616179081,152.882849603397
800.0,0.1,0.621595533817608,152.032365431167
800.0,0.1,0.632323608768426,151.171882761695
800.0,0.1,0.643062351911974,150.315128222841
800.0,0.1,0.653825285518564,149.467956490944
800.0,0.1,0.664621505512359,148.634623405456
800.0,0.1,0.675497823531383,147.837267212346
800.0,0.1,0.686516708537149,147.108382761146
